HC,p,GHSV,T,XCO2,fCO2,fH2,fCH3OH,fH2O,fCO,KfA,KfB,KfC,rCH3OH,rCO,rCO2,rCH3OH_pred,rCO_pred,rCO2_pred,rCH3OH_residual,rCO_residual,rCO2_residual,rCH3OH_relative_error_%,rCO_relative_error_%,rCO2_relative_error_%
2.0,3.0,12000.0,513.15,0.157,0.760484531240439,1.93041049540889,0.0675565394251555,0.104224830928745,0.0972928622360129,0.00263416709606216,0.00990326681963732,0.270512743020095,0.0036932380952381,0.00378295238095238,0.00747619047619048,0.0022667741406938537,0.0021287809672520105,0.004395555107945865,-0.0014264639545442464,-0.0016541714137003694,-0.0030806353682446153,-38.623666218093724,-43.72699540256762,-41.20595078543751
2.0,3.0,12000.0,523.15,0.169,0.759827924442125,1.91636076287485,0.0651227001065533,0.112978211645812,0.114773540728458,0.00203610206255958,0.0118274654229372,0.175057432510542,0.00354095238095238,0.00450666666666667,0.00804761904761905,0.002357388522585694,0.0026225114234168247,0.004979899946002519,-0.0011835638583666858,-0.0018841552432498454,-0.003067719101616531,-33.42501482746155,-41.80817847447879,-38.11958646979121
2.0,3.0,12000.0,533.15,0.174,0.761016977433744,1.91466672874203,0.0581909989561318,0.117808120722698,0.128984481930335,0.00158706283630095,0.0140260966989877,0.115048010476012,0.00315685714285714,0.00512885714285714,0.00828571428571429,0.0024615496528128046,0.0032089556471243475,0.0056705052999371525,-0.0006953074900443354,-0.0019199014957327924,-0.002615208985777138,-22.025307404789356,-37.43331978755934,-31.56286706972406
2.0,4.0,12000.0,493.15,0.121,0.952997856585947,2.71189037429457,0.0836044683003452,0.0912560628737352,0.0746417874784487,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00373947619047619,0.00202242857142857,0.00576190476190476,0.0027042934465372143,0.0014129862236105769,0.004117279670147791,-0.001035182743938976,-0.0006094423478179931,-0.0016446250917569686,-27.68256010227877,-30.134184041293743,-28.54308010487302
2.0,4.0,12000.0,503.15,0.151,0.954960370052755,2.64631962322273,0.0963000319344892,0.112052517179943,0.108313406500685,0.00343810236616845,0.00823025552201525,0.424891307866832,0.00424238095238095,0.00294809523809524,0.00719047619047619,0.00277143009325847,0.0017617403281184277,0.004533170421376898,-0.0014709508591224797,-0.0011863549099768124,-0.0026573057690992916,-34.672766911631044,-40.241403827351064,-36.95590804707625
2.0,4.0,12000.0,513.15,0.173,0.958023800720462,2.59734096944018,0.104898649727723,0.12797888612989,0.13417677501934,0.00263416709606216,0.00990326681963732,0.270512743020095,0.00456390476190476,0.00367419047619048,0.00823809523809524,0.0028504635735454227,0.0021799187502646073,0.00503038232381003,-0.0017134411883593377,-0.001494271725925873,-0.0032077129142852106,-37.543316036336996,-40.669413728250206,-38.93755560693029
2.0,4.0,12000.0,523.15,0.186,0.963453908363777,2.56902877457006,0.107486342295639,0.139119393738813,0.152934105142833,0.00203610206255958,0.0118274654229372,0.175057432510542,0.00463228571428571,0.00422485714285714,0.00885714285714286,0.0029472064969056602,0.0026788043894684097,0.00562601088637407,-0.00168507921738005,-0.0015460527533887299,-0.00323113197076879,-36.376841181953864,-36.594201912900246,-36.48052225061535
2.0,4.0,12000.0,533.15,0.192,0.969923964964802,2.5601721407724,0.102906828888807,0.146384164214304,0.168994517172874,0.00158706283630095,0.0140260966989877,0.115048010476012,0.00440685714285714,0.00472685714285714,0.00914285714285715,0.0030643259616544628,0.0032716584634826444,0.006335984425137107,-0.0013425311812026775,-0.0014551986793744959,-0.0028068727177200433,-30.46459500913754,-30.78575542680572,-30.70017035006295
2.0,5.0,12000.0,493.15,0.135,1.11088216159185,3.44049122584055,0.113211914038029,0.105341189550909,0.102786058996187,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00433928571428572,0.00208928571428571,0.00642857142857143,0.00328308910882178,0.0014510077998001717,0.004734096908621952,-0.00105619660546394,-0.0006382779144855385,-0.001694474519949478,-24.340333294642207,-30.550054026658312,-26.35849253254743
2.0,5.0,12000.0,503.15,0.167,1.12086099156922,3.34388195433218,0.133036353974772,0.126924945059991,0.144064488553691,0.00343810236616845,0.00823025552201525,0.424891307866832,0.00501,0.00294238095238095,0.00795238095238095,0.003343475765652067,0.0018043054394697301,0.005147781205121797,-0.0016665242343479325,-0.0011380755129112197,-0.0028045997472591535,-33.26395677341183,-38.678727579115765,-35.2674219715223
